date,avg
2024-10-29 18:26:00+10:00,72.0
2024-10-29 18:26:00+10:00,72.0
2024-10-29 18:33:00+10:00,71.0
2024-10-29 18:33:00+10:00,71.0
2024-10-29 18:37:00+10:00,76.0
2024-10-29 18:37:00+10:00,76.0
2024-10-29 18:41:00+10:00,83.0
2024-10-29 18:41:00+10:00,83.0
2024-10-29 18:47:00+10:00,89.0
2024-10-29 18:47:00+10:00,89.0
2024-10-29 18:52:00+10:00,76.0
2024-10-29 18:52:00+10:00,76.0
2024-10-29 18:55:00+10:00,89.0
2024-10-29 18:55:00+10:00,89.0
2024-10-29 19:00:00+10:00,94.0
2024-10-29 19:00:00+10:00,94.0
2024-10-29 19:07:00+10:00,90.0
2024-10-29 19:07:00+10:00,90.0
2024-10-29 19:19:00+10:00,77.00000000000001
2024-10-29 19:19:00+10:00,77.00000000000001
2024-10-29 19:21:00+10:00,75.0
2024-10-29 19:21:00+10:00,75.0
2024-10-29 19:26:00+10:00,80.0
2024-10-29 19:26:00+10:00,80.0
2024-10-29 19:30:00+10:00,74.0
2024-10-29 19:30:00+10:00,74.0
2024-10-29 19:32:00+10:00,73.0
2024-10-29 19:32:00+10:00,73.0
2024-10-29 19:35:00+10:00,67.0
2024-10-29 19:35:00+10:00,67.0
2024-10-29 19:38:00+10:00,72.64804077148439
2024-10-29 19:38:00+10:00,72.64804077148439
2024-10-29 19:40:00+10:00,70.0
2024-10-29 19:40:00+10:00,70.0
2024-10-29 19:49:00+10:00,63.0
2024-10-29 19:49:00+10:00,63.0
2024-10-29 19:50:00+10:00,63.0
2024-10-29 19:50:00+10:00,63.0
2024-10-29 19:55:00+10:00,67.0
2024-10-29 19:55:00+10:00,67.0
2024-10-29 20:03:00+10:00,60.0
2024-10-29 20:03:00+10:00,60.0
2024-10-29 20:05:00+10:00,65.0
2024-10-29 20:05:00+10:00,65.0
2024-10-29 20:13:00+10:00,64.0
2024-10-29 20:13:00+10:00,64.0
2024-10-29 20:19:00+10:00,59.0
2024-10-29 20:19:00+10:00,59.0
2024-10-29 20:22:00+10:00,58.0
2024-10-29 20:22:00+10:00,58.0
2024-10-29 20:25:00+10:00,60.0
2024-10-29 20:25:00+10:00,60.0
2024-10-29 20:30:00+10:00,61.0
2024-10-29 20:30:00+10:00,61.0
2024-10-29 20:37:00+10:00,59.0
2024-10-29 20:37:00+10:00,59.0
2024-10-29 20:40:00+10:00,53.0
2024-10-29 20:40:00+10:00,53.0
2024-10-29 20:45:00+10:00,53.0
2024-10-29 20:45:00+10:00,53.0
2024-10-29 20:52:00+10:00,75.0
2024-10-29 20:52:00+10:00,75.0
2024-10-29 21:47:00+10:00,60.042831420898445
2024-10-29 21:47:00+10:00,60.042831420898445
2024-10-29 21:48:00+10:00,57.0
2024-10-29 21:48:00+10:00,57.0
2024-10-29 21:50:00+10:00,59.0
2024-10-29 21:50:00+10:00,59.0
2024-10-29 21:51:00+10:00,59.0
2024-10-29 21:51:00+10:00,59.0
2024-10-29 21:58:00+10:00,60.0
2024-10-29 21:58:00+10:00,60.0
2024-10-29 22:04:00+10:00,59.0
2024-10-29 22:04:00+10:00,59.0
2024-10-29 22:06:00+10:00,59.0
2024-10-29 22:06:00+10:00,59.0
